Cause of Death,Community Area,Community Area Name,Cumulative Deaths 2006 - 2010,Cumulative Deaths Rank,Average Annual Deaths 2006 - 2010,Average Crude Rate 2006 - 2010,Average Crude Rate Lower CI,Average Crude Rate Upper CI,Crude Rate Rank,Average Adjusted Rate 2006 - 2010,Average Adjusted Rate Lower CI,Average Adjusted Rate Upper CI,Adjusted Rate Rank,Average Annual Years of Potential Life Lost (YPLL) Rate 2006 - 2010,YPLL Rate RANK,WARNING
All Causes,22,Logan Square,1461,29,292,390.8,370.8,410.8,71,718.2,679.9,757.5,48,5153,64,
All Causes,23,Humboldt park,1816,18,363,623.8,595.1,652.5,50,958.9,911.1,1007.9,23,11694,23,
All Causes,24,West Town,1800,19,360,432.3,412.3,452.3,69,738,703.2,773.6,42,5249,63,
All Causes,25,Austin,4635,1,927,906,879.9,932.1,27,1082.5,1050.3,1115.2,10,14206,13,
All Causes,26,West Garfield Park,1002,43,200,1054.5,989.2,1119.8,17,1254.4,1176.5,1334.7,2,18401,1,
All Causes,27,East Garfield Park,959,44,192,929.7,870.9,988.5,23,1127,1055.6,1200.8,7,15648,7,
All Causes,28,Near West Side,1282,33,256,482.1,455.7,508.5,63,793.4,748.9,839.2,37,6778,39,
All Causes,29,North Lawndale,1595,24,319,860.2,818,902.4,33,1061.9,1009.7,1115.4,12,15106,8,
All Causes,30,South Lawndale,1167,38,233,285.9,269.5,302.3,77,588,551.1,626,71,5114,66,
All Causes,31,Lower West Side,723,56,145,386.4,358.2,414.6,72,632.9,585.5,682,68,6073,50,
All Causes,32,Loop,453,69,91,339.3,308.1,370.5,76,525,475.1,577.5,76,3503,75,
All Causes,33,Near South Side,536,63,107,563.8,516.1,611.5,58,714.6,653.9,778.1,49,5749,56,
All Causes,34,Armour Square,533,64,107,812.6,743.6,881.6,36,582.1,533.1,633.3,73,4993,67,
All Causes,35,Douglas,1350,31,270,1357.8,1285.4,1430.2,2,1182.8,1118.9,1248.3,4,12522,18,
All Causes,36,Oakland,207,76,41,695.1,600.4,789.8,44,908,786.6,1038,26,9323,30,
All Causes,37,Fuller Park,230,74,46,1541.1,1341.9,1740.3,1,1313.4,1146.1,1492,1,17951,2,
All Causes,38,Grand Boulevard,1209,36,242,1044.7,985.8,1103.6,18,999,943.2,1056.4,18,12466,19,
All Causes,39,Kenwood,742,53,148,827,767.5,886.5,35,698.2,648.2,750,55,8889,32,
All Causes,40,Washington Park,546,62,109,894.9,819.8,970,29,1234.6,1129.6,1344.2,3,17469,3,
All Causes,41,Hyde Park,779,50,156,587.3,546.1,628.5,54,586.2,545,628.9,72,4451,71,
All Causes,42,Woodlawn,1155,39,231,946.4,891.8,1001,22,1038.2,978.7,1099.4,14,11787,22,
All Causes,43,South Shore,2919,2,584,1082.7,1043.4,1122,13,1061.2,1022.7,1100.4,13,14313,12,
All Causes,44,Chatham,1949,13,390,1207.7,1154.1,1261.3,8,928.9,887.2,971.6,25,13212,17,
All Causes,45,Avalon Park,603,60,121,1162.1,1069.3,1254.9,9,883.8,813.2,957.4,31,12021,21,
All Causes,46,South Chicago,1482,28,296,907,860.8,953.2,26,962,913.1,1012.1,22,13710,15,
All Causes,47,Burnside,170,77,34,1136.5,965.7,1307.3,10,1036.7,884.3,1201,15,14180,14,
All Causes,48,Calumet Heights,867,47,173,1217.3,1136.3,1298.3,7,893,832,956.1,30,11393,25,
All Causes,49,Roseland,2820,3,564,1219.7,1174.7,1264.7,6,1067.2,1027.8,1107.4,11,14448,10,
All Causes,50,Pullman,367,73,73,960.2,862,1058.4,21,972.6,873,1077.6,21,11175,26,
All Causes,51,South Deering,700,58,140,904.1,837.1,971.1,28,900.9,834.7,969.7,27,12266,20,
All Causes,52,East Side,800,49,160,690.7,642.8,738.6,45,786.5,732.7,842.1,38,6445,45,
All Causes,53,West Pullman,1570,25,314,1011.3,961.3,1061.3,19,1133.2,1075.1,1192.8,6,14987,9,
All Causes,54,Riverdale,210,75,42,587.6,508.1,667.1,53,996.1,859.4,1142.8,19,11497,24,
All Causes,55,Hegewisch,504,67,101,1061.4,968.7,1154.1,16,864.6,790.1,942.3,34,7265,36,
All Causes,56,Garfield Ridge,1975,11,395,1134.1,1084.1,1184.1,11,873.9,835.2,913.4,32,8299,33,
All Causes,57,Archer Heights,424,71,85,640.3,579.4,701.2,48,743.5,673.9,816.5,40,5936,54,
All Causes,58,Brighton Park,854,48,171,377.2,351.9,402.5,74,640.5,596.5,686.1,67,5471,60,
All Causes,59,McKinley Park,420,72,84,535.6,484.4,586.8,61,721.2,652.5,793.3,47,6479,44,
All Causes,60,Bridgeport,1009,42,202,624.4,585.9,662.9,49,714.1,670.2,759.4,50,6704,41,
All Causes,61,New City,1350,31,270,588.9,557.5,620.3,52,985.3,930.1,1042.2,20,9921,29,
All Causes,62,West Elsdon,511,66,102,578.3,528.2,628.4,56,683.1,624.5,744.4,60,5150,65,
All Causes,63,Gage Park,741,54,148,372.8,346,399.6,75,731.5,676.3,788.8,45,5656,57,
All Causes,64,Clearing,1019,41,204,887,832.5,941.5,30,831.4,781,883.4,36,7427,35,
All Causes,65,West Lawn,890,46,178,547.2,511.2,583.2,59,688.1,642.9,734.7,59,5648,58,
All Causes,66,Chicago Lawn,1644,23,329,579,551,607,55,895.3,850.1,941.7,28,10214,28,
All Causes,67,West Englewood,1888,15,378,1008,962.5,1053.5,20,1115.8,1065,1167.7,8,17097,4,
All Causes,68,Englewood,1757,20,351,1079,1028.5,1129.5,15,1169,1114.7,1224.6,5,16617,5,
All Causes,69,Greater Grand Crossing,2094,9,419,1238.9,1185.8,1292,5,1115,1066.9,1164.1,9,16304,6,
All Causes,70,Ashburn,1524,27,305,747.4,709.9,784.9,40,843.4,801.3,886.7,35,7653,34,
All Causes,71,Auburn Gresham,2708,4,542,1079.3,1038.6,1120,14,1006.8,968.7,1045.5,17,14398,11,
All Causes,72,Beverly,744,52,149,728.5,676.2,780.8,41,732.9,680.4,787.3,44,5892,55,
All Causes,73,Washington Heights,1750,21,350,1288.5,1228.1,1348.9,3,1015.7,967.6,1065,16,13520,16,
All Causes,74,Mount Greenwood,755,51,151,793.1,736.5,849.7,37,752,698.7,807.2,39,4966,68,
All Causes,75,Morgan Park,1251,34,250,1084,1023.9,1144.1,12,867.5,819.1,917.3,33,10531,27,
All Causes,76,O'Hare,439,70,88,697,631.8,762.2,43,619.5,562.4,679.4,69,5368,61,
All Causes,77,Edgewater,1975,11,395,685.1,654.9,715.3,46,673.2,643.5,703.5,63,6723,40,
All Causes,0,Chicago,97851,,19570,715.4,710.9,719.9,,817.4,812.2,822.5,,8371,,
All causes in males,1,Rogers Park,925,17,185,645.1,603.5,686.7,52,1076.9,1003.1,1153.3,32,9056,39,
All causes in males,2,West Ridge,1301,6,260,730.7,691,770.4,43,843,797.2,890,55,7605,57,
All causes in males,3,Uptown,1328,5,266,877.9,830.7,925.1,34,1144.5,1081,1209.8,27,11852,32,
All causes in males,4,Lincoln Square,605,35,121,610.6,561.9,659.3,55,932.6,855.4,1013.1,41,7484,59,
All causes in males,5,North Center,320,58,64,410.1,365.2,455,72,790.6,700.1,886.5,64,4721,74,
All causes in males,6,Lake View,906,20,181,385,359.9,410.1,75,724.5,675.8,774.9,72,4469,76,
All causes in males,7,Lincoln Park,651,34,130,425.1,392.4,457.8,69,789.5,727,854.5,65,3561,77,
All causes in males,8,Near North Side,993,14,199,541.7,508,575.4,60,585.7,548.8,623.9,77,5467,71,
All causes in males,9,Edison Park,251,65,50,938.8,822.7,1054.9,29,814.1,715.7,918.7,60,7488,58,
All causes in males,10,Norwood Park,974,15,195,1110.7,1040.9,1180.5,20,840,787.2,894.5,56,7364,60,
All causes in males,11,Jefferson Park,569,40,114,926,849.9,1002.1,30,917.7,843.3,995.2,44,9825,36,
All causes in males,12,Forest Glen,370,52,74,831.4,746.7,916.1,36,739.9,665.5,818.2,70,5435,72,
All causes in males,13,North Park,308,59,62,709.5,630.3,788.7,46,635.5,566.2,708.8,75,5664,70,
All causes in males,14,Albany Park,605,35,121,445.9,410.4,481.4,67,785.9,720.5,854,66,5888,69,
All causes in males,15,Portage Park,1177,7,235,748.6,705.8,791.4,40,929.5,875.4,985.3,42,9356,38,
All causes in males,16,Irving Park,794,27,159,583.8,543.2,624.4,56,917.2,850,986.9,45,7953,50,
All causes in males,17,Dunning,898,21,180,877.1,819.7,934.5,35,849,794,905.8,52,8658,41,
All causes in males,18,Montclaire,248,67,50,761.9,667.1,856.7,39,847,743.7,956.9,53,8281,45,
All causes in males,19,Belmont Cragin,995,12,199,503.7,472.4,535,64,877.9,819.5,938.3,50,7702,55,
All causes in males,20,Hermosa,261,64,52,409.6,359.9,459.3,73,782.3,674.1,898.3,67,8530,43,
All causes in males,21,Avondale,481,45,96,469.8,427.8,511.8,65,831.9,750.6,917.3,58,8112,48,
All causes in males,22,Logan Square,821,25,164,433.7,404,463.4,68,886.1,819.5,955.2,48,6948,62,
All causes in males,23,Humboldt park,1041,8,208,738.8,693.9,783.7,41,1190.2,1107.6,1275.7,23,15745,23,
All causes in males,24,West Town,953,16,191,446,417.7,474.3,66,846.6,789.9,905.2,54,6756,63,
All causes in males,25,Austin,2475,1,495,1055,1013.4,1096.6,23,1392.9,1332.7,1454.4,10,19342,13,
All causes in males,26,West Garfield Park,544,41,109,1242.1,1137.7,1346.5,11,1653.7,1509.3,1804.6,3,24562,1,
All causes in males,27,East Garfield Park,540,42,108,1126.5,1031.5,1221.5,18,1517.1,1383.7,1656.5,6,22824,3,
All causes in males,28,Near West Side,686,32,137,525.7,486.4,565,63,1017.6,933.7,1105.1,38,8353,44,
All causes in males,29,North Lawndale,859,22,172,1014.8,946.9,1082.7,27,1387.3,1292.7,1485.3,11,20047,9,
All causes in males,30,South Lawndale,694,31,139,296.5,274.4,318.6,77,674.1,615.2,735.6,73,6022,67,
All causes in males,31,Lower West Side,417,50,83,422.5,381.9,463.1,70,741.8,666.1,821.6,69,7721,54,
All causes in males,32,Loop,244,68,49,368.2,322,414.4,76,598,515.8,686.2,76,4736,73,
All causes in males,33,Near South Side,262,63,52,583.2,512.6,653.8,57,980.1,852.9,1116,40,7697,56,
All causes in males,34,Armour Square,283,62,57,898.6,793.9,1003.3,33,754.2,668,845.5,68,6548,64,
All causes in males,35,Douglas,671,33,134,1473.8,1362.3,1585.3,2,1637.3,1514.2,1765.1,4,17372,18,
All causes in males,36,Oakland,100,76,20,804.2,646.6,961.8,37,1187.7,952.6,1448.4,24,12970,29,
All causes in males,37,Fuller Park,125,74,25,1744.6,1438.8,2050.4,1,1701.8,1400.3,2032.2,1,21441,7,
All causes in males,38,Grand Boulevard,600,37,120,1195.8,1100.1,1291.5,13,1356,1248.6,1467.8,13,17167,19,
All causes in males,39,Kenwood,355,53,71,922.4,826.4,1018.4,31,900,808,996.9,47,12081,31,
All causes in males,40,Washington Park,296,61,59,1115.2,988.2,1242.2,19,1686.7,1485.3,1900.7,2,23356,2,
All causes in males,41,Hyde Park,339,55,68,534.9,478,591.8,61,652.7,584.3,724.8,74,4708,75,
All causes in males,42,Woodlawn,571,39,114,1045.2,959.5,1130.9,24,1354.4,1242.1,1471.4,14,16365,21,
All causes in males,43,South Shore,1369,4,274,1161.6,1100.1,1223.1,16,1305.7,1235.5,1377.8,17,18659,14,
All causes in males,44,Chatham,922,18,184,1321.6,1236.3,1406.9,8,1229.5,1150.8,1310.8,21,18279,17,
All causes in males,45,Avalon Park,300,60,60,1324.9,1175,1474.8,7,1185.3,1052.6,1325.8,25,16051,22,
All causes in males,46,South Chicago,771,28,154,1030.6,957.9,1103.3,25,1214.1,1127.6,1303.7,22,18648,15,
All causes in males,47,Burnside,84,77,17,1259.9,1004.9,1559.8,9,1414.4,1122.9,1739.1,9,19605,11,
All causes in males,48,Calumet Heights,439,47,88,1387.2,1257.4,1517,4,1151.8,1043,1265.9,26,15314,25,
All causes in males,49,Roseland,1408,2,282,1363.6,1292.4,1434.8,6,1370.1,1298.5,1443.5,12,19403,12,
All causes in males,50,Pullman,181,73,36,1059.9,905.5,1214.3,22,1286.8,1089.8,1500,19,14892,26,
All causes in males,51,South Deering,344,54,69,967.3,865.1,1069.5,28,1085,970.9,1205.4,30,15349,24,
All causes in males,52,East Side,414,51,83,723.2,653.5,792.9,44,997.8,901.8,1098.6,39,8755,40,
All causes in males,53,West Pullman,813,26,163,1145.8,1067,1224.6,17,1327.6,1232.6,1426.1,16,20151,8,
All causes in males,54,Riverdale,103,75,21,690.3,557,823.6,48,1351,1081.9,1649.5,15,16874,20,
All causes in males,55,Hegewisch,240,69,48,1018.9,890,1147.8,26,1049.9,920.3,1187.9,36,10167,34,
All causes in males,56,Garfield Ridge,994,13,199,1179,1105.7,1252.3,14,1104.4,1036.6,1174.4,29,11170,33,
All causes in males,57,Archer Heights,231,70,46,692.1,602.8,781.4,47,1065.2,928.3,1211.4,33,8101,49,
All causes in males,58,Brighton Park,452,46,90,387.7,352,423.4,74,733,660.8,808.9,71,7107,61,
All causes in males,59,McKinley Park,224,72,45,570,495.4,644.6,59,883.2,764.4,1010.5,49,8640,42,
All causes in males,60,Bridgeport,528,43,106,654.4,598.6,710.2,51,901.9,822.4,985,46,8266,46,
All causes in males,61,New City,733,30,147,633.6,587.7,679.5,53,1117,1027.1,1210.6,28,12721,30,
All causes in males,62,West Elsdon,251,65,50,573.2,502.3,644.1,58,837.8,735,947.3,57,6520,66,
All causes in males,63,Gage Park,429,49,86,421.3,381.4,461.2,71,918.9,823.5,1019.4,43,7750,51,
All causes in males,64,Clearing,518,44,104,922.4,843,1001.8,31,1059.9,969.5,1154.4,35,9810,37,
All causes in males,65,West Lawn,434,48,87,534.3,484,584.6,62,806.7,730.3,886.9,61,7724,53,
All causes in males,66,Chicago Lawn,851,23,170,624.6,582.6,666.6,54,1064.3,984.6,1147.1,34,13749,27,
All causes in males,67,West Englewood,1016,10,203,1169.7,1097.8,1241.6,15,1468.8,1374.6,1566.1,7,22617,4,
All causes in males,68,Englewood,909,19,182,1239.7,1159.1,1320.3,12,1531.7,1431.5,1635.2,5,22106,6,
All causes in males,69,Greater Grand Crossing,1033,9,207,1385.4,1300.9,1469.9,5,1466.8,1377.7,1558.7,8,22608,5,
All causes in males,70,Ashburn,761,29,152,779.8,724.4,835.2,38,1026.2,952.7,1102.5,37,9915,35,
All causes in males,71,Auburn Gresham,1386,3,277,1251.1,1185.2,1317,10,1302.9,1233.7,1374,18,19628,10,
All causes in males,72,Beverly,323,57,65,664.5,592,737,50,792.9,705.6,885.3,63,6545,65,
All causes in males,73,Washington Heights,845,24,169,1404,1309.3,1498.7,3,1263.5,1178.2,1351.7,20,18372,16,
All causes in males,74,Mount Greenwood,336,56,67,717,640.3,793.7,45,860.9,769.6,957.2,51,5960,68,
All causes in males,75,Morgan Park,573,38,115,1093.9,1004.3,1183.5,21,1081.9,994.4,1173.1,31,13618,28,
All causes in males,76,O'Hare,231,70,46,732,637.6,826.4,42,794.4,694.3,901.2,62,7747,52,
All causes in males,77,Edgewater,1012,11,202,686.1,643.8,728.4,49,829.8,777.9,883.4,59,8223,47,
All causes in males,0,Chicago,49732,,9946,749.3,742.7,755.9,,1003.7,994.6,1012.9,,10833,,
All causes in females,1,Rogers Park,816,21,163,582.6,542.6,622.6,52,744,692.6,797.2,27,5117,37,
All causes in females,2,West Ridge,1311,6,262,716.7,677.9,755.5,42,570.2,538.7,602.6,56,4637,43,
All causes in females,3,Uptown,1214,7,243,881.4,831.8,931,23,749.7,706.6,794,26,6058,32,
All causes in females,4,Lincoln Square,503,39,101,486.2,443.7,528.7,63,528.7,482.6,576.8,67,3250,71,
All causes in females,5,North Center,370,55,74,454.9,408.5,501.3,65,602.6,542,666.4,46,3408,69,
All causes in females,6,Lake View,1008,12,202,425.3,399,451.6,69,508.4,475.9,541.9,70,2075,77,
All causes in females,7,Lincoln Park,773,24,155,461.1,428.6,493.6,64,632.5,586.6,680,43,2407,75,
All causes in females,8,Near North Side,1061,8,212,501.8,471.6,532,61,465.5,437.1,494.8,74,3615,65,
All causes in females,9,Edison Park,269,63,54,919,809.2,1028.8,18,528.3,464.5,596.2,68,3711,61,
All causes in females,10,Norwood Park,1398,4,280,1425.5,1350.8,1500.2,1,602.8,567.1,639.6,45,4670,42,
All causes in females,11,Jefferson Park,606,36,121,915.3,842.4,988.2,20,580.9,534.1,629.6,52,4437,45,
All causes in females,12,Forest Glen,356,56,71,746.4,668.9,823.9,37,447.2,400.7,496.2,76,2886,73,
All causes in females,13,North Park,394,52,79,841.4,758.3,924.5,31,481.1,432.4,532.3,72,3219,72,
All causes in females,14,Albany Park,646,32,129,504.2,465.3,543.1,60,593.7,548.1,641.1,48,3856,57,
All causes in females,15,Portage Park,1022,11,204,620.8,582.7,658.9,47,525.7,493.6,558.8,69,4066,53,
All causes in females,16,Irving Park,748,27,150,549.7,510.3,589.1,54,617.3,573.5,662.7,44,4541,44,
All causes in females,17,Dunning,920,15,184,855.8,800.5,911.1,28,534.2,499.1,570.4,65,3814,58,
All causes in females,18,Montclaire,310,59,62,917.2,815.1,1019.3,19,647.6,574.4,725.2,39,4866,41,
All causes in females,19,Belmont Cragin,843,20,169,431,401.9,460.1,68,557.1,519.7,595.9,60,4226,48,
All causes in females,20,Hermosa,223,68,45,352.6,306.3,398.9,72,556.8,483.8,634.8,61,4210,50,
All causes in females,21,Avondale,441,45,88,451.2,409.1,493.3,66,594.5,539.7,651.9,47,3750,60,
All causes in females,22,Logan Square,640,33,128,346.7,319.8,373.6,73,581.5,536.4,628.4,51,3289,70,
All causes in females,23,Humboldt park,775,23,155,515.9,479.6,552.2,58,774.2,717.5,833.1,23,7859,26,
All causes in females,24,West Town,847,19,169,417.9,389.8,446,70,638.8,595.9,683.1,42,3638,64,
All causes in females,25,Austin,2159,1,432,779.4,746.5,812.3,34,863.4,826.6,900.9,10,9779,12,
All causes in females,26,West Garfield Park,458,43,92,894.1,812.2,976,22,974.6,886.9,1066.3,3,13019,2,
All causes in females,27,East Garfield Park,419,49,84,758.9,686.2,831.6,35,839.8,761,922.5,14,9265,17,
All causes in females,28,Near West Side,596,37,119,440,404.7,475.3,67,644.9,593.4,698.4,40,5234,36,
All causes in females,29,North Lawndale,736,28,147,730.4,677.6,783.2,39,833.6,774.2,895.1,16,10886,7,
All causes in females,30,South Lawndale,473,42,95,271.6,247.1,296.1,77,502,455.5,550.6,71,3880,56,
All causes in females,31,Lower West Side,306,60,61,346.1,307.3,384.9,74,529.4,470.7,591.4,66,4211,49,
All causes in females,32,Loop,209,69,42,310.7,268.6,352.8,76,444.9,385.2,508.9,77,2273,76,
All causes in females,33,Near South Side,274,62,55,546.4,481.7,611.1,55,577.9,510.6,649.2,55,3954,55,
All causes in females,34,Armour Square,250,66,50,733.1,642.2,824,38,453.4,397.7,512.7,75,3499,67,
All causes in females,35,Douglas,679,30,136,1259.9,1165.1,1354.7,3,892.9,823.6,964.9,7,8223,21,
All causes in females,36,Oakland,107,74,21,616.8,499.9,733.7,48,742.6,607.5,891.1,28,6655,30,
All causes in females,37,Fuller Park,105,76,21,1353.4,1094.5,1612.3,2,1035.1,840.7,1249.4,1,14629,1,
All causes in females,38,Grand Boulevard,608,35,122,927.6,853.9,1001.3,17,775.6,714,839.7,22,8747,20,
All causes in females,39,Kenwood,387,53,77,755.3,680,830.6,36,569.4,512.6,629,57,6423,31,
All causes in females,40,Washington Park,250,66,50,725.2,635.3,815.1,40,946.7,830.8,1069.9,4,12873,3,
All causes in females,41,Hyde Park,440,46,88,635.2,575.8,694.6,46,536.5,485.4,590.2,64,4210,50,
All causes in females,42,Woodlawn,584,38,117,866.3,796,936.6,26,834.1,767.1,903.8,15,7965,24,
All causes in females,43,South Shore,1550,2,310,1021.5,970.6,1072.4,14,898.3,853.6,944,6,10849,8,
All causes in females,44,Chatham,1025,10,205,1118.7,1050.2,1187.2,6,740.8,694.4,788.6,29,9195,18,
All causes in females,45,Avalon Park,303,61,61,1036.1,919.4,1152.8,13,696.4,617.5,780,35,8804,19,
All causes in females,46,South Chicago,710,29,142,801.6,742.6,860.6,32,779,722.4,837.7,21,9440,16,
All causes in females,47,Burnside,86,77,17,1037.4,829.8,1281.2,12,799.4,635.1,982.2,19,9648,13,
All causes in females,48,Calumet Heights,428,47,86,1081.5,979,1184,10,713.1,643.8,785.9,32,8184,22,
All causes in females,49,Roseland,1411,3,282,1102.8,1045.3,1160.3,8,858.9,813.8,905.2,11,10348,10,
All causes in females,50,Pullman,186,73,37,879.6,753.2,1006,24,793.3,681.8,913,20,8127,23,
All causes in females,51,South Deering,356,56,71,850.4,762.1,938.7,30,769.8,691.2,852.7,24,9598,14,
All causes in females,52,East Side,386,54,77,659,593.3,724.7,45,639.2,576.6,705,41,4121,52,
All causes in females,53,West Pullman,757,26,151,898,834,962,21,977.2,906.1,1051.1,2,10597,9,
All causes in females,54,Riverdale,106,75,21,509.2,412.3,606.1,59,805.5,654.8,971.6,17,7574,27,
All causes in females,55,Hegewisch,264,64,53,1103.3,970.2,1236.4,7,714.8,628.8,806.2,31,4278,46,
All causes in females,56,Garfield Ridge,981,13,196,1091.9,1023.6,1160.2,9,697.6,653.1,743.6,34,5490,34,
All causes in females,57,Archer Heights,193,72,39,587.7,504.8,670.6,50,538.3,463.4,618.6,63,3659,63,
All causes in females,58,Brighton Park,402,51,80,366.2,330.4,402,71,558.9,504.7,615.8,59,3706,62,
All causes in females,59,McKinley Park,196,71,39,501.1,430.9,571.3,62,587.6,507.6,673.4,50,4264,47,
All causes in females,60,Bridgeport,481,41,96,594.5,541.4,647.6,49,580.2,529.2,633.5,53,5105,38,
All causes in females,61,New City,617,34,123,543.4,500.5,586.3,56,854.7,786.8,925.4,12,7031,28,
All causes in females,62,West Elsdon,260,65,52,583.4,512.5,654.3,51,569.3,501,641.9,58,3765,59,
All causes in females,63,Gage Park,312,58,62,321.8,286.1,357.5,75,578.5,513.5,647.2,54,3436,68,
All causes in females,64,Clearing,501,40,100,853,778.3,927.7,29,664.2,606.5,724.4,38,5065,40,
All causes in females,65,West Lawn,456,44,91,560.1,508.7,611.5,53,590,536,646.6,49,3528,66,
All causes in females,66,Chicago Lawn,792,22,158,536.3,498.9,573.7,57,763.2,709.6,818.8,25,6854,29,
All causes in females,67,West Englewood,872,17,174,868.2,810.6,925.8,25,870.5,813.1,929.8,9,12208,4,
All causes in females,68,Englewood,848,18,170,947.4,883.6,1011.2,15,922.6,861.1,986.1,5,11998,5,
All causes in females,69,Greater Grand Crossing,1061,8,212,1123.2,1055.6,1190.8,5,879.7,825.9,935.3,8,11149,6,
All causes in females,70,Ashburn,763,25,153,717.7,666.8,768.6,41,708.1,658.3,759.7,33,5527,33,
All causes in females,71,Auburn Gresham,1322,5,264,943.5,892.6,994.4,16,804.1,760.8,848.6,18,10177,11,
All causes in females,72,Beverly,421,48,84,786.6,711.5,861.7,33,689.1,623.8,757.6,36,5288,35,
All causes in females,73,Washington Heights,905,16,181,1196.6,1118.6,1274.6,4,840.7,785.2,898.1,13,9554,15,
All causes in females,74,Mount Greenwood,418,50,84,864.9,782,947.8,27,669.9,605.7,737.4,37,3957,54,
All causes in females,75,Morgan Park,678,31,136,1075.8,994.8,1156.8,11,721.9,665.8,780.2,30,7863,25,
All causes in females,76,O'Hare,208,70,42,662,572,752,44,478.3,414,547,73,2885,74,
All causes in females,77,Edgewater,963,14,193,684.1,640.9,727.3,43,551.5,516.3,587.8,62,5093,39,
All causes in females,0,Chicago,48110,,9622,683.3,677.2,689.4,,676.6,670.5,682.7,,5991,,
Alzheimers disease,1,Rogers Park,23,29,5,8.1,5.1,12.2,54,13.2,8.3,19.1,41,5,33,
Alzheimers disease,2,West Ridge,56,3,11,15.5,11.7,20.1,23,12.7,9.5,16.2,44,20,4,
Alzheimers disease,3,Uptown,53,4,11,18.3,13.7,23.9,15,18.1,13.5,23.4,18,0,54,
Alzheimers disease,4,Lincoln Square,14,47,3,6.9,3.8,11.6,61,9.6,5.2,15.3,65,1,49,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Alzheimers disease,5,North Center,9,55,2,5.6,2.6,10.6,70,9.9,4.5,17.4,64,0,54,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Alzheimers disease,6,Lake View,51,8,10,10.8,8,14.2,41,14.5,10.8,18.9,36,2,45,
Alzheimers disease,7,Lincoln Park,42,14,8,13.1,9.4,17.7,32,21.2,15.2,28.2,9,10,22,
Alzheimers disease,8,Near North Side,53,4,11,13.4,10,17.5,29,14.1,10.5,18.1,39,0,54,
Alzheimers disease,9,Edison Park,15,42,3,26.8,15,44.2,9,17.3,9.6,27.3,23,35,1,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Alzheimers disease,10,Norwood Park,44,12,9,23.7,17.2,31.8,12,10.3,7.4,13.8,59,6,28,
Alzheimers disease,11,Jefferson Park,27,23,5,21.2,14,30.8,14,15.3,10.1,21.7,34,3,42,
